,Location,Zhvi
0,"40.71, -73.99",1004200
1,"41.83, -87.68",318300
2,"40.71, -73.99",1032800
3,"41.83, -87.68",385200
4,"31.84, -106.43",113600
5,"41.83, -87.68",200400
6,"29.76, -95.38",157600
7,"37.79, -122.42",1069900
8,"33.2, -96.65",298900
9,"40.64, -73.94",564700
10,"29.79, -95.82",160600
11,"28.92, -81.92",245000
12,"41.83, -87.68",308300
13,"36.17, -86.78",204500
14,"33.91, -118.34",528700
15,"36.04, -86.64",170200
16,"41.83, -87.68",337300
17,"40.71, -73.99",1050900
18,"40.71, -73.99",1389500
19,"35.19, -80.83",168700
20,"33.61, -84.49",106300
21,"31.84, -106.43",168600
22,"34.1, -118.37",1226300
23,"38.0, -121.83",356600
24,"40.71, -73.99",1186200
25,"41.83, -87.68",201700
26,"32.69, -97.01",178400
27,"38.89, -77.03",529400
28,"38.89, -77.03",566500
29,"39.38, -76.55",200200
30,"38.77, -90.6",180700
31,"29.76, -95.38",105900
32,"33.94, -83.99",158700
33,"40.84, -73.87",419400
34,"41.83, -87.68",152900
35,"41.83, -87.68",272700
36,"40.64, -73.94",707500
37,"40.64, -73.94",576900
38,"40.64, -73.94",960300
39,"40.64, -73.94",349100
40,"36.56, -87.34",125600
41,"32.79, -96.76",306100
42,"29.96, -95.69",223000
43,"33.62, -112.0",226200
44,"29.7, -98.11",188500
45,"40.64, -73.94",587700
46,"25.92, -97.48",65500
47,"33.94, -83.99",198800
48,"34.0, -84.15",190600
49,"36.73, -76.04",247200
50,"37.77, -122.27",868400
51,"40.74, -74.02",713200
52,"41.83, -87.68",131700
53,"37.74, -122.41",1190800
54,"35.19, -80.83",315400
55,"32.79, -96.76",170600
56,"34.02, -118.39",1005300
57,"25.77, -80.2",355700
58,"25.77, -80.2",386900
59,"40.74, -73.9",418200
60,"33.95, -118.29",357300
61,"26.74, -80.12",258800
62,"40.64, -73.94",506200
63,"33.9, -118.07",422100
64,"33.86, -118.18",395200
65,"40.64, -73.94",354000
66,"33.04, -96.98",207900
67,"41.83, -87.68",115600
68,"41.37, -82.1",89600
69,"36.73, -76.04",193100
70,"39.95, -75.16",66100
71,"42.24, -83.62",184000
72,"30.26, -97.74",498600
73,"33.74, -117.99",590800
74,"40.09, -74.21",304000
75,"32.22, -110.82",151200
76,"38.88, -94.81",220800
77,"30.26, -97.74",254500
78,"38.67, -121.14",480600
79,"32.63, -117.05",473500
80,"34.07, -118.26",783400
81,"35.11, -106.62",230200
82,"38.55, -122.15",575800
83,"40.64, -73.94",1053500
84,"47.68, -122.12",660600
85,"34.05, -84.07",309600
86,"30.33, -81.65",108600
87,"41.68, -72.94",173400
88,"40.64, -73.94",942100
89,"26.02, -80.16",195300
90,"41.83, -87.68",254100
91,"33.54, -84.24",138000
92,"36.21, -115.21",155400
