,RegionName,Zhvi
0,10025,1004200
1,60657,318300
2,10023,1032800
3,60614,385200
4,79936,113600
5,60640,200400
6,77084,157600
7,94109,1069900
8,75070,298900
9,11226,564700
10,77449,160600
11,32162,245000
12,60647,308300
13,37211,204500
14,90250,528700
15,37013,170200
16,60618,337300
17,10128,1050900
18,10011,1389500
19,28269,168700
20,30349,106300
21,79912,168600
22,90046,1226300
23,94565,356600
24,10003,1186200
25,60613,201700
26,75052,178400
27,20009,529400
28,20002,566500
29,21234,200200
30,63376,180700
31,77036,105900
32,30044,158700
33,10463,419400
34,60629,152900
35,60625,272700
36,11230,707500
37,11209,576900
38,11201,960300
39,11212,349100
40,37042,125600
41,75287,306100
42,77429,223000
43,85032,226200
44,78130,188500
45,11214,587700
46,78521,65500
47,30043,198800
48,30096,190600
49,23464,247200
50,94501,868400
51,7030,713200
52,60619,131700
53,94110,1190800
54,28277,315400
55,75243,170600
56,90034,1005300
57,33160,355700
58,33139,386900
59,11377,418200
60,90044,357300
61,33411,258800
62,11234,506200
63,90650,422100
64,90805,395200
65,11207,354000
66,75067,207900
67,60617,115600
68,44035,89600
69,23462,193100
70,19143,66100
71,48197,184000
72,78704,498600
73,92683,590800
74,8701,304000
75,85710,151200
76,66062,220800
77,78745,254500
78,95630,480600
79,91910,473500
80,90026,783400
81,87111,230200
82,94558,575800
83,11215,1053500
84,98052,660600
85,30024,309600
86,32210,108600
87,6010,173400
88,11221,942100
89,33025,195300
90,60610,254100
91,30281,138000
92,89108,155400
93,78240,160000
94,85225,223700
95,77433,218500
96,2169,362500
97,33009,195300
98,15601,139900
99,93722,212400
100,48180,83100
101,17603,142100
102,95608,356500
103,85308,258800
104,94533,310500
105,14850,244800
106,87114,189400
107,33024,222400
108,80013,285400
109,20906,319800
110,37075,247300
111,11211,971500
112,90066,1181100
113,11373,341500
114,11385,569200
115,85281,213900
116,44060,159500
117,43081,188200
118,28027,194100
119,85364,123000
120,8753,259900
121,92677,773300
122,91709,609700
123,65807,116200
124,60620,131100
125,75034,412500
126,10028,1319800
127,60634,249500
128,95823,239000
129,92804,524300
130,27410,195100
131,6902,360300
132,43123,156200
133,20011,526100
134,60016,198000
135,92109,817400
136,45011,173300
137,60628,100100
138,90019,910500
139,91911,423100
140,44256,198300
141,76028,179300
142,33908,232700
143,89121,157300
144,75228,143500
145,2148,369100
146,33647,256900
147,89117,264900
148,47906,166100
149,92345,210900
150,43130,127500
151,28314,102800
152,94536,857600
153,92503,335300
154,65203,193100
155,7002,312400
156,19111,159500
157,92126,523600
158,27406,105900
159,91730,388200
160,90201,400700
161,97229,524800
162,29732,161200
163,27610,139300
164,76244,233200
165,98103,661300
166,10457,354400
167,21740,146900
168,77095,210700
169,32822,128900
170,22191,281400
171,90280,394700
172,60626,152600
173,92592,429300
174,87120,169500
175,98012,446300
176,10027,833000
177,90004,1281800
178,92336,400800
179,30062,293900
180,46307,187500
181,33012,180300
182,80134,410600
183,23454,270600
184,46227,117400
185,74012,150800
186,21117,238700
187,90706,451300
188,60649,117400
189,7093,310900
190,99301,181700
191,32244,129200
192,11233,659900
193,48103,336900
194,33186,268900
195,92335,295300
196,92021,426300
197,85705,119200
198,20019,263800
199,76063,240800
200,43230,177300
201,23320,233700
202,22193,287400
203,93065,524900
204,45840,133100
205,48185,125800
206,27834,80600
207,92101,517900
208,22304,308800
209,91342,444100
210,11223,769900
211,30331,121600
212,20878,514000
213,30080,219000
214,92627,686000
215,33311,134000
216,27858,139800
217,30188,202200
218,2155,469000
219,37130,164500
220,90011,351000
221,87121,124500
222,32256,167100
223,33027,296900
224,23666,171400
225,19124,82100
226,90025,817700
227,30022,369700
228,90027,1328500
229,58103,184500
230,33064,158600
231,34135,275900
232,30040,256700
233,79938,128000
234,32218,145400
235,77845,222000
236,33063,150500
237,44077,137100
238,77082,157800
239,43026,191900
240,23452,230500
241,30052,171100
242,10701,404600
243,90731,522900
244,27587,277100
245,33313,64100
246,80634,249000
247,34711,226900
248,91335,474400
249,71913,142000
250,38401,137200
251,97402,206600
252,95123,761300
253,60616,248000
254,32174,214600
255,75206,372400
256,94544,528800
257,30041,316500
258,2360,324800
259,20001,605000
260,43228,98500
261,93550,214700
262,89052,359200
263,30318,126200
264,11208,395700
265,75150,143200
266,94509,335000
267,63123,147000
268,95747,421500
269,93309,183500
270,89123,235600
271,20147,470000
272,19446,289200
273,8831,316100
274,43068,140000
275,34953,191400
276,7087,330900
277,78501,100600
278,35242,320400
279,95687,364300
280,94122,1147000
281,75056,248200
282,29072,185800
283,91710,440200
284,27713,212100
285,23223,126800
286,60453,170800
287,7302,675600
288,60641,265200
289,93535,201800
290,60622,389300
291,32225,201700
292,93536,290600
293,93257,164000
294,23451,382600
295,93727,216300
296,28078,256800
297,14221,218100
298,19120,84400
299,48823,178900
300,93306,178800
301,32828,259700
302,60660,176400
303,2301,244200
304,80525,349700
305,33321,160100
306,19720,170200
307,30135,146000
308,22204,470100
309,11204,800200
310,80015,344100
311,95758,338300
312,19020,237300
313,30127,165000
314,60056,293300
315,21122,291300
316,27707,191100
317,21222,134400
318,20874,279900
319,11219,743000
320,33319,90400
321,85282,241300
322,60085,98200
323,95076,492400
324,77840,168200
325,33467,267200
326,89031,192600
327,94538,771300
328,93307,152300
329,31907,79900
330,60615,167700
331,29730,129300
332,33157,262900
333,98133,457700
334,94541,528700
335,29223,115200
336,28601,135600
337,11225,888900
338,32792,199600
339,90802,320400
340,31419,149500
341,63021,240000
342,95035,836500
343,75043,163000
344,92115,451000
345,29445,158100
346,14580,184200
347,27284,155200
348,63129,215800
349,92104,530100
350,29464,406700
351,70726,150900
352,20020,286800
353,15301,142600
354,90631,530800
355,6516,172300
356,85022,237000
357,93274,175700
358,11203,459000
359,85204,183200
360,85301,122300
361,92646,754200
362,93230,179000
363,30909,132500
364,30004,384800
365,75002,272200
366,1960,370600
367,94587,714900
368,30906,62800
369,92647,681300
370,66061,204100
371,31088,116900
372,92630,645000
373,95051,1077900
374,98115,676600
375,32608,183000
376,85008,141500
377,97045,348800
378,89110,152400
379,75211,113900
380,92376,290300
381,33511,184500
382,95355,286700
383,36117,166800
384,98632,155100
385,92154,414500
386,33458,302200
387,43229,127200
388,34787,247900
389,97401,286400
390,32246,151300
391,29485,191200
392,33414,335500
393,27705,234700
