"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,61639,"10025","NY","New York","New York","New York",0,1004200,-0.00956701844363349,-0.04032874617737,-0.0878372240893814,0.0645780557353246,0.0291791766708502,"2016-03","2016-Q1",1103200,-0.0897389412617839,"2015-06"
2016-09-30,84654,"60657","IL","Chicago","Cook","Chicago",1,318300,0.00791640278657378,0.0231436837029894,0.02909796314258,0.037020028013532,0.0000942995967145865,"2007-09","2007-Q3",324300,-0.0185013876040703,"2006-12"
2016-09-30,61637,"10023","NY","New York","New York","New York",2,1032800,0.00839679750048819,0.00662768031189084,-0.0851271148906015,0.0342849472868867,0.0173132238509746,"2015-09","2015-Q3",1128900,-0.0851271148906015,"2015-06"
2016-09-30,84616,"60614","IL","Chicago","Cook","Chicago",3,385200,0.00732217573221757,0.0150197628458498,0.040237645152579,0.0336193204336286,0.000286015351804503,"2007-09","2007-Q3",398100,-0.0324039186134137,"2006-11"
2016-09-30,93144,"79936","TX","El Paso","El Paso","El Paso",4,113600,0.00264783759929391,0.017921146953405,0.0225022502250225,0.00248318063830077,-0.00362389428119136,"2007-12","2007-Q4",131000,-0.132824427480916,"2006-08"
2016-09-30,84640,"60640","IL","Chicago","Cook","Chicago",5,200400,0.00602409638554217,0.0250639386189258,0.0255885363357216,0.0332076956894403,-0.0153810590249461,"2007-02","2007-Q1",237600,-0.156565656565657,"2003-04"
2016-09-30,91733,"77084","TX","Houston","Harris","Houston",6,157600,0.00127064803049555,0.0207253886010363,0.0914127423822715,0.0775198885631359,0.0231183351595865,"2016-09","2016-Q3",157600,0,"2016-09"
2016-09-30,97564,"94109","CA","San Francisco","San Francisco","San Francisco",7,1069900,-0.00852562320452229,-0.0230115971144188,-0.0423379878267096,0.104635960786929,0.0300913969802319,"2016-02","2016-Q1",1118000,-0.0430232558139535,"2015-06"
2016-09-30,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",8,298900,0.00741489720256151,0.0257378174330817,0.10132645541636,0.0951956668253302,0.0413623253918067,"2016-09","2016-Q3",298900,0,"2016-09"
2016-09-30,62037,"11226","NY","New York","Kings","New York",9,564700,-0.00264924055104203,-0.0216562716562717,0.0474865516601744,0.0922208882565081,0.0321045486817035,"2016-06","2016-Q2",577200,-0.0216562716562717,"2016-05"
2016-09-30,91940,"77449","TX","Houston","Harris","Cypress",10,160600,0.00752823086574655,0.0294871794871795,0.0888135593220339,0.0854196191177163,0.0203474453808945,"2016-09","2016-Q3",160600,0,"2016-09"
2016-09-30,71831,"32162","FL","The Villages","Sumter","The Villages",11,245000,0,-0.000407996736026112,0.00327600327600328,0.0473551312253409,-0.00129682461784542,"2007-01","2007-Q1",253700,-0.0342924714229405,"2006-09"
2016-09-30,84646,"60647","IL","Chicago","Cook","Chicago",12,308300,0.0134779750164366,0.0397976391231029,0.0678905438171112,0.0576958667793055,-0.000356096907126791,"2006-08","2006-Q3",310000,-0.00548387096774194,"2006-04"
2016-09-30,74242,"37211","TN","Nashville","Davidson","Nashville",13,204500,0.0108749382105783,0.0370182555780933,0.154063205417607,0.0891996586260384,0.0366375445971858,"2016-09","2016-Q3",204500,0,"2016-09"
2016-09-30,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",14,528700,0.00189501610763691,0.00589802130898021,0.0475530017832376,0.085686050036375,-0.00218645051166366,"2006-11","2006-Q4",541400,-0.0234577022534171,"2005-12"
2016-09-30,74101,"37013","TN","Nashville","Davidson","Nashville",15,170200,0.00829383886255924,0.0290205562273277,0.122691292875989,0.0667674840925732,0.015663862372568,"2016-09","2016-Q3",170200,0,"2016-09"
2016-09-30,84620,"60618","IL","Chicago","Cook","Chicago",16,337300,0.00386904761904762,0.0159638554216867,0.0643736194383086,0.0578682636646342,-0.00368921928848376,"2006-11","2006-Q4",351100,-0.0393050412987753,"2006-02"
2016-09-30,61703,"10128","NY","New York","New York","New York",17,1050900,0.00526114405969007,0.0240693821867082,0.100418848167539,0.0460180611399867,,"2016-04","2016-Q2",1062500,-0.0109176470588235,"2016-03"
2016-09-30,61625,"10011","NY","New York","New York","New York",18,1389500,0.00462728653025812,-0.0348013337038066,-0.0872963741460851,0.11635376806024,0.0508819983400093,"2015-12","2015-Q4",1601400,-0.132321718496316,"2015-07"
2016-09-30,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,168700,0.00897129186602871,0.0242865816636308,0.0704314720812183,0.0449590790171142,0.00857074452127371,"2016-09","2016-Q3",168700,0,"2016-09"
2016-09-30,71067,"30349","GA","Atlanta","Clayton","Riverdale",20,106300,0.0143129770992366,0.0360623781676413,0.139335476956056,0.116751047417998,-0.0277161747284503,"2006-04","2006-Q2",142100,-0.251935256861365,"2000-07"
2016-09-30,93123,"79912","TX","El Paso","El Paso","El Paso",21,168600,0.000593471810089021,0.00297441998810232,0.0113977204559088,0.00299227373009092,-0.00462509541234524,"2007-12","2007-Q4",189600,-0.110759493670886,"2006-05"
2016-09-30,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",22,1226300,0.0022066034651847,0.00360094934118995,0.0256774841083975,0.101315228773555,0.0220703541095217,"2016-04","2016-Q2",1227300,-0.000814796708221299,"2016-04"
2016-09-30,97771,"94565","CA","San Francisco","Contra Costa","Pittsburg",23,356600,0.0116312056737589,0.0324261725535611,0.1050511310815,0.162312009335441,-0.0265275606077893,"2006-07","2006-Q3",468100,-0.238196966460158,"2004-08"
